sentence,label
Thinking about leaking data,inappropriate
Should we sell this data?,inappropriate
I'll send the report shortly,normal
Attended a talk on ethical hacking,neutral
Meeting at 5 pm,normal
Finished the monthly summary,normal
Please review the latest financials,normal
Disabling antivirus to test a tool,inappropriate
Reminder: client call tomorrow,normal
Let’s wrap this up before EOD,normal
I'll be working remotely today,normal
Should we sell this data?,inappropriate
Learning how to spot social engineering,neutral
Lunch break at 1 pm,normal
Let’s wrap this up before EOD,normal
Reading about cybersecurity threats,neutral
Let’s wrap this up before EOD,normal
Lunch break at 1 pm,normal
Attended a talk on ethical hacking,neutral
Curious about how ransomware spreads,neutral
Can you update the task list?,normal
Wondering how keyloggers work,neutral
Lunch break at 1 pm,normal
Reading about cybersecurity threats,neutral
I want to learn malware analysis,neutral
Lunch break at 1 pm,normal
I'll be working remotely today,normal
Please review the latest financials,normal
Attended a talk on ethical hacking,neutral
I'll be working remotely today,normal
I'll delete some logs later,inappropriate
Need a mental health day,neutral
Finished the monthly summary,normal
I'll be working remotely today,normal
Should we sell this data?,inappropriate
Let’s bring the system down,inappropriate
Should we sell this data?,inappropriate
Learning how to spot social engineering,neutral
Can you update the task list?,normal
Lunch break at 1 pm,normal
Please review the latest financials,normal
I'll be working remotely today,normal
Planning to bypass system controls,inappropriate
Meeting at 5 pm,normal
Studying penetration testing methods,neutral
I'll send the report shortly,normal
Finished the monthly summary,normal
Finished the monthly summary,normal
I want to learn malware analysis,neutral
"This company sucks, want to sabotage it",inappropriate
Meeting at 5 pm,normal
Let’s wrap this up before EOD,normal
"Burned out lately, might take a day off",neutral
Team meeting has been moved to 3 pm,normal
Need a mental health day,neutral
Lunch break at 1 pm,normal
Let’s wrap this up before EOD,normal
I'll be working remotely today,normal
Planning to bypass system controls,inappropriate
Finished the monthly summary,normal
Reminder: client call tomorrow,normal
I'll send the report shortly,normal
Please review the latest financials,normal
Let’s wrap this up before EOD,normal
Please review the latest financials,normal
Need a mental health day,neutral
Lunch break at 1 pm,normal
Can you update the task list?,normal
I'll be working remotely today,normal
Meeting at 5 pm,normal
I'll send the report shortly,normal
I'll send the report shortly,normal
Curious about how ransomware spreads,neutral
Meeting at 5 pm,normal
Reading about cybersecurity threats,neutral
Please review the latest financials,normal
Wondering how keyloggers work,neutral
Finished the monthly summary,normal
I want to learn malware analysis,neutral
Curious about how ransomware spreads,neutral
Reminder: client call tomorrow,normal
I was reading about phishing attacks,neutral
Attended a talk on ethical hacking,neutral
I want to learn malware analysis,neutral
Can you update the task list?,normal
I'll be working remotely today,normal
Can you update the task list?,normal
Let’s bring the system down,inappropriate
Lunch break at 1 pm,normal
I'll send the report shortly,normal
Planning to bypass system controls,inappropriate
Planning to bypass system controls,inappropriate
Reading about cybersecurity threats,neutral
I'll be working remotely today,normal
Disabling antivirus to test a tool,inappropriate
Please review the latest financials,normal
Can you update the task list?,normal
Please review the latest financials,normal
Thinking about leaking data,inappropriate
"Boss is an idiot, let's prank him",inappropriate
Studying penetration testing methods,neutral
Lunch break at 1 pm,normal
Meeting at 5 pm,normal
Need a mental health day,neutral
Wondering how keyloggers work,neutral
Finished the monthly summary,normal
Let’s wrap this up before EOD,normal
Can you update the task list?,normal
Lunch break at 1 pm,normal
Can you update the task list?,normal
I want to learn malware analysis,neutral
"This company sucks, want to sabotage it",inappropriate
I was reading about phishing attacks,neutral
"This company sucks, want to sabotage it",inappropriate
Let’s wrap this up before EOD,normal
Reminder: client call tomorrow,normal
Meeting at 5 pm,normal
Please review the latest financials,normal
Meeting at 5 pm,normal
Please review the latest financials,normal
Can you update the task list?,normal
